age_bin,sex,education_attainment_bin,n,q1,q2,q3
18-29,Female,1 & 2,3843,16,24,30
18-29,Female,3,7075,17,24,30
18-29,Female,4,4898,19,26,31
18-29,Female,5,1650,20,27,32
18-29,Male,1 & 2,3719,16,23,30
18-29,Male,3,6345,17,24,31
18-29,Male,4,4867,17,24,31
18-29,Male,5,1371,17,25,31
30-49,Female,1 & 2,1777,11,16,24
30-49,Female,3,5661,12,19,26
30-49,Female,4,7311,15,22,28
30-49,Female,5,6259,17,24,30
30-49,Male,1 & 2,839,10,17,26
30-49,Male,3,2456,12,19,26
30-49,Male,4,3893,13,20,28
30-49,Male,5,2901,15,22,29
50-64,Female,1 & 2,4182,10,15,22
50-64,Female,3,11177,11,17,24
50-64,Female,4,11127,13,19,26
50-64,Female,5,8968,14,21,27
50-64,Male,1 & 2,1056,7,12,19
50-64,Male,3,2438,8,13,20
50-64,Male,4,3387,10,16,23
50-64,Male,5,3009,11,18,25
65-74,Female,1 & 2,2283,9,14,20
65-74,Female,3,5766,10,15,22
65-74,Female,4,4838,12,17,24
65-74,Female,5,5160,13,19,25
65-74,Male,1 & 2,537,6,9,15
65-74,Male,3,1483,7,12,18
65-74,Male,4,2110,8,13,19
65-74,Male,5,2223,9,14,20
75+,Female,1 & 2,953,7,11,17
75+,Female,3,1790,8,12,18
75+,Female,4,1419,9,14,20
75+,Female,5,1388,10,15,22
75+,Male,1 & 2,279,5,8,14
75+,Male,3,541,5,8,13
75+,Male,4,844,5,9,14
75+,Male,5,1046,6,10,16